iter	Passed	Remaining
0	1240	619098
1	2213	551230
2	3140	520246
3	4095	507870
4	5067	501633
5	6112	503260
6	7164	504571
7	8211	505016
8	9263	505372
9	10304	504914
10	11427	507988
11	12470	507152
12	13478	504913
13	14436	501145
14	15428	498864
15	16483	498629
16	17462	496131
17	18464	494437
18	19423	491715
19	20369	488869
20	21368	487404
21	22345	485512
22	23314	483531
23	24290	481768
24	25273	480199
25	26256	478681
26	27230	477044
27	28120	474033
28	28984	470746
29	29928	468883
30	30874	467105
31	31759	464485
32	32636	461857
33	33518	459397
34	34372	456658
35	35273	454631
36	36199	452983
37	37141	451558
38	38030	449537
39	38898	447332
40	39796	445527
41	40890	445901
42	41804	444289
43	42622	441726
44	43505	439889
45	44766	441821
46	46194	445235
47	48124	453172
48	51797	476748
49	53325	479931
50	54314	478177
51	55520	478328
52	56552	476963
53	57523	475101
54	58407	472573
55	59244	469724
56	60197	467851
57	61084	465505
58	61954	463085
59	62853	460928
60	63746	458764
61	64798	457773
62	65706	455772
63	66614	453811
64	67495	451701
65	68517	450553
66	69538	449405
67	70491	447828
68	71418	446109
69	72422	444881
70	73353	443218
71	74223	441215
72	75046	438972
73	75931	437118
74	77100	436902
75	77956	434912
76	78891	433393
77	79872	432129
78	80708	430103
79	81766	429272
80	82611	427335
81	83608	426198
82	84515	424615
83	85389	422881
84	86279	421248
85	87150	419537
86	87930	417415
87	88755	415538
88	89732	414384
89	90531	412420
90	91414	410865
91	92266	409182
92	93112	407492
93	94015	406068
94	94928	404696
95	95807	403190
96	96688	401703
97	97563	400208
98	98331	398292
99	99241	396964
100	100159	395679
101	101113	394542
102	102058	393371
103	102894	391791
104	103734	390237
105	104593	388771
106	105461	387347
107	106311	385872
108	107238	384682
109	108222	383698
110	109224	382779
111	110429	382558
112	111498	381857
113	112425	380669
114	113247	379131
115	114206	378061
116	115033	376562
117	116076	375772
118	116890	374246
119	117904	373364
120	118785	372063
121	119645	370704
122	120560	369522
123	121506	368440
124	122493	367481
125	123508	366605
126	124397	365355
127	125223	363931
128	126176	362880
129	127112	361781
130	127935	360366
131	128947	359490
132	130001	358724
133	130968	357720
134	131943	356735
135	132873	355633
136	133908	354807
137	134874	353801
138	135938	353047
139	136914	352065
140	137929	351181
141	138854	350069
142	139900	349261
143	140868	348258
144	141962	347562
145	142908	346505
146	143855	345449
147	144831	344464
148	145975	343875
149	146941	342863
150	147865	341755
151	148763	340591
152	149829	339810
153	150718	338626
154	151607	337448
155	152647	336606
156	153656	335695
157	154615	334674
158	155579	333664
159	156532	332631
160	157488	331607
161	158460	330615
162	159350	329454
163	160312	328445
164	161235	327357
165	162192	326339
166	163089	325203
167	164051	324197
168	164846	322864
169	165790	321829
170	166660	320651
171	167530	319477
172	168413	318331
173	169383	317350
174	170403	316464
175	172017	316668
176	173188	316045
177	174118	314978
178	175208	314201
179	176118	313098
180	176938	311841
181	177820	310697
182	178896	309891
183	179821	308823
184	180762	307784
185	181887	307057
186	182872	306091
187	183807	305042
188	184919	304284
189	185772	303102
190	186717	302071
191	187595	300935
192	188526	299884
193	189558	298994
194	190501	297964
195	191491	297007
196	192516	296104
197	193566	295237
198	194434	294095
199	195398	293098
200	196414	292179
201	197319	291095
202	198115	289853
203	199087	288871
204	200022	287837
205	201131	287052
206	202094	286056
207	202946	284905
208	203814	283779
209	204844	282881
210	205813	281896
211	206718	280825
212	207580	279697
213	208521	278678
214	209518	277734
215	210540	276822
216	211694	276080
217	212567	274972
218	213425	273847
219	214302	272748
220	215260	271753
221	216086	270595
222	217012	269562
223	218015	268626
224	218911	267558
225	220038	266772
226	221020	265809
227	221962	264797
228	222954	263845
229	223973	262925
230	224926	261927
231	225875	260924
232	226837	259938
233	227990	259168
234	228892	258112
235	229998	257286
236	230879	256208
237	231851	255231
238	232787	254215
239	233770	253251
240	234761	252295
241	235700	251284
242	236744	250384
243	237754	249446
244	238708	248452
245	239557	247348
246	240560	246403
247	241552	245448
248	242464	244411
249	243418	243418
250	244351	242404
251	245274	241381
252	246308	240467
253	247156	239371
254	248027	238300
255	248964	237294
256	249873	236261
257	250984	235419
258	251936	234427
259	252885	233432
260	253903	232501
261	254906	231556
262	255905	230606
263	256722	229494
264	257764	228583
265	258702	227580
266	259704	226633
267	260730	225707
268	261607	224651
269	262577	223676
